tier,modality,dataset,n_truth_records,run,guard,basis,eligible,answered,error,skipped,coverage,failure_rate,TP,FP,TN,FN,accuracy,precision,recall,recall_ci95,fpr,fpr_ci95,f1_unsafe,macro_f1,auroc,low_sample_warn,note
formal,text,WildGuardMix test full (1959+250 probe),1959,wildguardmix_test/out_text_real,rule,answered_only,1959,1959,0,0,1.0000,0.0000,77,188,1487,207,0.7984,0.2906,0.2711,"[0.223,0.326]",0.1122,"[0.098,0.128]",0.2805,0.5816,N/A(no continuous score),no,"as-run: llama native argmax, rule 0/1; pre-M3.6 threshold"
formal,text,WildGuardMix test full (1959+250 probe),1959,wildguardmix_test/out_text_real,rule,failure_as_wrong,1959,1959,0,0,1.0000,0.0000,77,188,1487,207,0.7984,0.2906,0.2711,"[0.223,0.326]",0.1122,"[0.098,0.128]",0.2805,0.5816,N/A(basis),no,"as-run: llama native argmax, rule 0/1; pre-M3.6 threshold"
formal,text,WildGuardMix test full (1959+250 probe),1959,wildguardmix_test/out_text_real,llama-guard,answered_only,1959,1911,48,0,0.9755,0.0245,175,104,1542,90,0.8985,0.6272,0.6604,"[0.601,0.715]",0.0632,"[0.052,0.076]",0.6434,0.7921,0.8881,no,"as-run: llama native argmax, rule 0/1; pre-M3.6 threshold"
formal,text,WildGuardMix test full (1959+250 probe),1959,wildguardmix_test/out_text_real,llama-guard,failure_as_wrong,1959,1911,48,0,0.9755,0.0245,175,133,1542,109,0.8765,0.5682,0.6162,"[0.558,0.671]",0.0794,"[0.067,0.093]",0.5912,0.7592,N/A(basis),no,"as-run: llama native argmax, rule 0/1; pre-M3.6 threshold"
formal,text,Judge stratified subset (120),120,wildguardmix_test/out_judge_subset,rule,answered_only,120,120,0,0,1.0000,0.0000,11,10,70,29,0.6750,0.5238,0.2750,"[0.161,0.428]",0.1250,"[0.069,0.215]",0.3607,0.5714,N/A(no continuous score),no,120 = 40 unsafe/40 safe/40 XSTest
formal,text,Judge stratified subset (120),120,wildguardmix_test/out_judge_subset,rule,failure_as_wrong,120,120,0,0,1.0000,0.0000,11,10,70,29,0.6750,0.5238,0.2750,"[0.161,0.428]",0.1250,"[0.069,0.215]",0.3607,0.5714,N/A(basis),no,120 = 40 unsafe/40 safe/40 XSTest
formal,text,Judge stratified subset (120),120,wildguardmix_test/out_judge_subset,llama-guard,answered_only,120,118,2,0,0.9833,0.0167,22,7,73,16,0.8051,0.7586,0.5789,"[0.422,0.721]",0.0875,"[0.043,0.170]",0.6567,0.7603,0.9089,no,120 = 40 unsafe/40 safe/40 XSTest
formal,text,Judge stratified subset (120),120,wildguardmix_test/out_judge_subset,llama-guard,failure_as_wrong,120,118,2,0,0.9833,0.0167,22,7,73,18,0.7917,0.7586,0.5500,"[0.398,0.693]",0.0875,"[0.043,0.170]",0.6377,0.7457,N/A(basis),no,120 = 40 unsafe/40 safe/40 XSTest
formal,text,Judge stratified subset (120),120,wildguardmix_test/out_judge_subset,llm-judge,answered_only,120,119,1,0,0.9917,0.0083,30,12,67,10,0.8151,0.7143,0.7500,"[0.598,0.858]",0.1519,"[0.089,0.247]",0.7317,0.7953,0.8951,no,120 = 40 unsafe/40 safe/40 XSTest
formal,text,Judge stratified subset (120),120,wildguardmix_test/out_judge_subset,llm-judge,failure_as_wrong,120,119,1,0,0.9917,0.0083,30,13,67,10,0.8083,0.6977,0.7500,"[0.598,0.858]",0.1625,"[0.097,0.258]",0.7229,0.7882,N/A(basis),no,120 = 40 unsafe/40 safe/40 XSTest
